GeneName	Astro_GFP_AD_63694	Astro_GFP_WT_63702	Astro_GFP_WT_63703	Astro_GFP_WT_63746	Astro_GFP_WT_63747	Astro_GFP_WT_63765	Astro_GFP_WT_63778	Astro_SOCS3_WT_63704	Astro_SOCS3_WT_63750	Astro_SOCS3_WT_63780	Astro_SOCS3_WT_63796	Astro_SOCS3_WT_63799
ENSMUSG00000090576	9	11	0	34	43	2	32	14	81	18	24	42
ENSMUSG00000030103	5062	8095	6172	5458	6626	2802	9399	5059	5854	9513	5509	9665
ENSMUSG00000030105	2932	8523	3128	6250	10027	3276	4865	5327	6745	5782	5551	8332
ENSMUSG00000030104	846	1191	449	1563	720	1483	1139	833	750	950	947	1274
ENSMUSG00000057604	3719	3296	3295	2965	6060	4491	2697	4482	5031	4531	5718	4734
ENSMUSG00000083443	9	20	13	12	8	8	17	8	13	21	12	17
ENSMUSG00000029633	4	16	5	15	10	6	8	11	6	11	6	17
ENSMUSG00000030254	0	74	0	53	485	0	61	132	192	203	56	168
ENSMUSG00000030257	2538	1955	2086	1672	2406	2879	1778	2558	3401	2523	2409	2546
ENSMUSG00000108103	0	7	0	10	58	0	9	0	14	13	6	27
ENSMUSG00000107455	90	37	0	44	110	0	12	28	24	30	17	15
ENSMUSG00000030264	1313	1202	1986	1447	2077	899	1089	1011	1220	1561	1066	1406
ENSMUSG00000086429	1946	1712	1445	1575	2442	889	1465	1525	2645	1527	2354	2795
ENSMUSG00000034269	753	415	1	483	881	222	705	926	958	436	410	786
ENSMUSG00000042873	203	413	194	376	65	523	175	340	359	256	307	221
ENSMUSG00000030269	348	1353	1809	1100	1445	913	972	711	947	1378	1148	1032
ENSMUSG00000030270	0	26	0	0	0	0	0	10	13	27	0	14
ENSMUSG00000107812	0	4	0	1	0	0	11	11	0	10	0	18
ENSMUSG00000001632	549	897	813	1012	1195	1029	1553	507	800	1260	878	1269
ENSMUSG00000085012	49	14	17	8	16	37	22	10	23	19	29	23
ENSMUSG00000030271	325	534	460	390	376	1117	382	326	479	348	472	477
ENSMUSG00000030272	3635	4369	4459	3492	5844	4289	3178	2559	3200	3484	2953	3383
ENSMUSG00000048930	1612	1660	360	1419	1161	2127	1346	1224	1513	1861	1681	1582
ENSMUSG00000079426	4617	3801	2984	3211	4202	4052	2335	2930	4515	3309	3257	3404
ENSMUSG00000030276	1848	2987	1204	2693	1940	926	4423	1003	1893	2707	1760	2584
ENSMUSG00000051169	532	310	306	336	302	376	245	391	417	425	495	410
ENSMUSG00000107944	138	66	26	23	47	6	69	33	15	49	41	43
ENSMUSG00000051256	4146	3466	2883	3029	3755	4094	1715	2860	4711	3360	4205	2950
ENSMUSG00000043088	22	36	0	103	21	10	44	12	7	79	25	28
ENSMUSG00000030281	1218	1411	1546	2245	922	1292	1025	1136	1422	1716	1367	1453
ENSMUSG00000030284	1648	1978	1717	1898	2108	1294	1219	1450	2075	1961	2118	1872
ENSMUSG00000045009	3	0	0	46	0	0	2	0	17	0	15	40
ENSMUSG00000030286	13300	17960	16794	14744	18580	14964	11698	14250	18671	16431	17635	16972
ENSMUSG00000034023	0	0	0	2	0	0	22	3	93	10	4	35
ENSMUSG00000033963	55	13	0	35	0	38	18	21	0	0	26	69
ENSMUSG00000033940	3498	3973	2256	3746	4924	3771	1998	3654	5294	3263	4003	3502
ENSMUSG00000107937	9	55	0	13	0	74	19	55	105	24	41	59
ENSMUSG00000107560	97	48	1	30	88	168	28	57	151	36	88	74
ENSMUSG00000033933	3586	8737	5632	7557	11355	5161	4231	5166	6585	5637	5197	7127
ENSMUSG00000060477	4218	5900	3099	4577	7679	1864	4745	5963	6553	6658	6104	7261
ENSMUSG00000107846	91	36	43	23	0	0	65	71	3	47	70	51
ENSMUSG00000056952	23	31	283	43	0	650	24	66	48	1	20	69
ENSMUSG00000097994	3	0	0	59	0	6	34	31	25	44	39	5
ENSMUSG00000108137	0	28	0	11	0	0	19	16	73	29	48	17
ENSMUSG00000030298	5680	5026	2790	4692	7207	5777	3048	4035	6290	4419	4906	5011
ENSMUSG00000030302	1205	1939	777	2284	2633	1474	2451	1636	2609	1874	1664	2436
ENSMUSG00000087053	38	1	0	16	2	0	0	14	38	30	1	0
ENSMUSG00000087083	0	0	0	0	0	0	7	8	31	11	0	10
ENSMUSG00000030307	10039	26817	8238	14773	10483	10661	21281	23704	29749	19584	17300	25000
ENSMUSG00000030310	29210	105613	39222	58113	74069	32232	84354	51884	68152	57660	49704	76313
ENSMUSG00000053004	3143	6110	3494	3252	4498	2228	5581	3284	4009	4619	3061	6222
ENSMUSG00000030314	1486	2631	1837	1927	1890	1455	1769	1703	1687	1931	1814	2614
ENSMUSG00000107411	0	53	0	37	194	0	94	11	28	49	2	79
ENSMUSG00000030315	1233	1082	370	1207	1440	947	935	1431	2108	1152	1296	1868
ENSMUSG00000030316	726	531	786	319	1170	798	428	509	475	441	692	702
ENSMUSG00000097486	0	26	0	34	91	0	34	15	48	43	32	40
ENSMUSG00000009394	1961	2624	1456	2253	3871	1541	2169	1861	3012	2374	1536	2143
ENSMUSG00000030317	29715	34464	24561	29019	41893	30398	17179	25309	37495	26545	31093	29950
ENSMUSG00000000440	0	0	0	0	42	1	30	28	0	42	25	50
ENSMUSG00000042389	1211	993	780	984	1300	460	968	963	1450	1102	1255	1289
ENSMUSG00000000439	754	1268	3	1068	1653	663	920	931	1194	1290	1111	1171
ENSMUSG00000000441	1574	4338	2137	3576	4047	966	3060	2149	3519	4650	2998	3989
ENSMUSG00000081805	1	0	185	17	0	0	1	11	30	2	14	34
ENSMUSG00000107994	199	60	0	36	100	119	6	43	66	28	68	56
ENSMUSG00000030319	110	994	657	997	1102	245	902	560	759	402	612	1092
ENSMUSG00000057841	977	706	1024	676	1709	1385	382	761	1321	639	865	714
ENSMUSG00000030321	240	223	410	271	346	2	329	86	155	269	100	412
ENSMUSG00000030322	287	423	340	409	75	356	534	377	310	387	448	632
ENSMUSG00000030323	653	2419	782	2121	340	591	1722	1357	1561	1813	1600	2224
ENSMUSG00000030324	0	0	0	0	0	0	14	54	43	26	0	72
ENSMUSG00000030123	131	206	268	126	325	547	210	205	162	188	185	159
ENSMUSG00000030126	3500	3524	1537	2471	2577	1218	2140	2913	4336	3083	3031	3325
ENSMUSG00000108030	107	109	175	85	129	141	69	23	104	82	72	89
ENSMUSG00000024104	3545	10581	4979	7124	12121	3788	10321	4233	5337	7564	5056	7981
ENSMUSG00000107577	226	142	183	237	182	146	520	95	309	477	358	202
ENSMUSG00000042213	346	225	0	261	75	1	66	9	14	115	27	116
ENSMUSG00000025702	261	1209	2166	1586	1776	2008	1269	933	1197	1118	1342	1469
ENSMUSG00000107906	6	7	2	7	11	3	1	11	13	5	3	12
ENSMUSG00000059878	1048	2271	1247	2367	1782	1284	1692	1256	1977	1402	1649	2439
ENSMUSG00000042129	187	269	0	445	0	439	239	0	79	29	78	118
ENSMUSG00000048489	508	390	698	252	193	1102	369	31	118	74	26	76
ENSMUSG00000061353	1373	3131	1100	3238	432	3105	2371	134	260	911	179	455
ENSMUSG00000054488	93	240	0	151	0	706	115	45	0	35	0	39
ENSMUSG00000059689	3285	1890	2588	2075	2249	2145	1168	1749	2421	2012	2500	2041
ENSMUSG00000042097	151	411	454	330	596	0	467	363	279	322	131	304
ENSMUSG00000042079	3040	5138	2830	4540	3697	3735	3181	2957	3680	3364	3411	3946
ENSMUSG00000107608	32	17	66	81	109	34	54	29	76	33	85	35
ENSMUSG00000030134	0	21	0	12	60	0	29	30	66	34	0	8
ENSMUSG00000042042	4	812	67	689	271	187	490	345	224	380	258	914
ENSMUSG00000030138	1148	960	1632	697	941	763	1631	811	1119	894	1065	1162
ENSMUSG00000030145	136	504	92	428	514	107	244	242	654	281	369	496
ENSMUSG00000072623	256	290	398	206	168	107	340	218	273	165	474	420
ENSMUSG00000007827	380	557	931	265	586	803	272	427	623	210	442	885
ENSMUSG00000051331	54	57	0	100	0	4	48	50	27	21	6	68
ENSMUSG00000041477	840	535	346	581	619	526	1105	552	990	617	704	848
ENSMUSG00000041460	0	51	0	28	0	0	168	4	42	69	17	209
ENSMUSG00000055003	3385	7828	2600	3897	5608	2557	5135	2719	2846	2966	1451	4666
ENSMUSG00000030168	943	409	666	377	351	1063	189	448	784	385	430	245
ENSMUSG00000030170	213	64	323	54	0	0	74	1	9	36	47	22
ENSMUSG00000030019	145	481	131	224	297	191	229	388	449	232	237	336
ENSMUSG00000030172	1082	917	517	1020	1423	309	837	821	1141	924	761	937
ENSMUSG00000097831	30	56	0	29	0	0	18	0	50	9	0	25
ENSMUSG00000030166	1294	796	216	777	1115	889	686	792	1072	1162	958	1043
ENSMUSG00000045962	1649	781	2287	1379	1611	1207	729	1229	1983	1631	1596	1401
ENSMUSG00000041377	110	26	5	30	0	26	21	90	33	54	63	57
ENSMUSG00000030177	625	371	10	352	401	100	195	296	350	480	418	559
ENSMUSG00000030180	1186	1410	1247	1779	931	393	1382	1206	1720	1513	989	2636
ENSMUSG00000002897	941	2131	199	1730	1224	358	1889	1485	1504	1823	1241	1666
ENSMUSG00000094626	121	71	4	211	258	7	112	119	48	76	199	154
ENSMUSG00000058979	3329	3773	3636	3189	4283	3295	4119	3309	4471	4832	5539	4692
ENSMUSG00000093739	76	50	0	40	124	0	64	57	80	95	144	68
ENSMUSG00000071226	672	818	29	836	1808	546	1131	689	1338	1165	929	1610
ENSMUSG00000004902	31260	29755	29002	18832	37327	27110	19643	23478	31609	25338	25060	28241
ENSMUSG00000019210	6825	8656	7133	8795	11486	7420	4673	6429	9472	7545	7666	8217
ENSMUSG00000009112	741	1681	121	1400	2590	1502	1316	1069	980	847	720	1377
ENSMUSG00000004446	351	178	0	90	0	270	129	115	75	37	5	87
ENSMUSG00000051586	417	528	60	374	570	352	705	468	687	505	812	531
